experiment_id,date,kind,purpose,git_ref,dataset,max_size,epochs,batch_size,size_profile,key_variables,checkpoint_from,output_path,review_path,metrics,result,interpretation,next_step,journal_ref
20260607-resumed-32768,2026-06-07,training,Resume interrupted 32768-sample AWS run from epoch-4 checkpoint,uncial-pilot-prep,ALPUB_v2,32768,1,8,96,VES_SEED=42; VES_RESUME_FROM=runs/20260607T195744Z-6e1be9724/checkpoints/0-4.pth,runs/20260607T195744Z-6e1be9724/checkpoints/0-4.pth,model/runs/20260607T221147Z-ce45afd60,new.pth visual review pending,train_loss=4.0512; val_loss=3.5407,Completed resumed epoch and saved new.pth,Checkpoint resume worked for continuing interrupted training,Use as old subset comparison once copied locally,docs/research_journal.md#2026-06-16
20260609-full-epoch1,2026-06-09,training,Run first full ALPUB_v2 manifest epoch on AWS,uncial-pilot-prep,ALPUB_v2,205797,1,8,96,VES_SEED=42; VES_MAX_SIZE=0; VES_SIZE_PROFILE=96,recovery checkpoint from full-dataset run,model/runs/20260609T034800Z-508dd5292,model/runs/comparisons/20260610_visual_progress,train_loss=2.9289; val_loss=2.6946,Completed full-dataset epoch and saved new.pth,Full-manifest training improved aggregate validation loss,Compare visual outputs against subset and later epochs,docs/research_journal.md#2026-06-16
20260610-full-epoch2,2026-06-10,training,Continue full ALPUB_v2 training from epoch-1 checkpoint,uncial-pilot-prep,ALPUB_v2,205797,1,8,96,VES_SEED=42; VES_MAX_SIZE=0; VES_SIZE_PROFILE=96,model/runs/20260609T034800Z-508dd5292/new.pth,model/runs/20260610T015145Z-07415d46e,model/runs/comparisons/20260610_visual_progress,train_loss=2.5580; val_loss=2.4500,Completed second full-dataset epoch and saved new.pth,Validation loss improved but visual quality did not clearly improve for all classes,Pause paid full-dataset training and inspect weak classes,docs/research_journal.md#2026-06-16
20260610-visual-regression-review,2026-06-10,visual-review,Compare subset and full-dataset checkpoints on fixed visual samples and concern classes,uncial-pilot-prep,ALPUB_v2,n/a,n/a,n/a,96,reviewed_classes=omicron;epsilon;lunate_sigma;chi; concern_classes=omicron;epsilon,model/runs/20260609T034800Z-508dd5292/new.pth; model/runs/20260610T015145Z-07415d46e/new.pth,model/runs/comparisons/20260610_visual_progress,model/runs/comparisons/20260610_visual_progress,visual review showed mixed quality; omicron and epsilon concern cases,Generated class-specific visual comparisons,Aggregate validation loss is not enough to judge letter quality,Compute per-class diagnostics and revisit target/loss formulation,docs/research_journal.md#2026-06-16
20260613-focal-sweep-wrapper,2026-06-13,dry-run,Add dry-run-capable focal-weight sweep wrapper and inventory planning,b32a14753,ALPUB_v2,256,1,4,96,VES_FOCAL_WEIGHT sweep=1.25|1.5|2.0|2.5|3.0|4.0,n/a,model/runs/experiments/focal-weight-sweep-YYYYMMDD,model/runs/experiments/focal-weight-sweep-YYYYMMDD/reviews,unit tests: 41 tests passed,Implemented sweep planning and inventory without launching training,Controlled sweep setup is ready for review before execution,Run controlled dry run and inspect manifest,docs/research_journal.md#2026-06-16
20260613-controlled-focal-dryrun,2026-06-13,dry-run,Verify focal sweep wrapper with two planned focal weights,b32a14753,ALPUB_v2,128,1,4,96,VES_FOCAL_WEIGHT=1.25;2.5,n/a,/tmp/ves-controlled-focal-dry-run,/tmp/ves-controlled-focal-dry-run/reviews,manifest probes=focal_1_25;focal_2_50; inventory statuses=planned,Dry run wrote experiment.json run_inventory.json and RUN_INDEX.md,Dry-run path works and does not launch training,Review plan before any execute-mode training,docs/research_journal.md#2026-06-16
20260619-focal-1-25-2048,2026-06-19,training,Test whether focal weight 1.25 improves an epoch-2 resumed model on a bounded AWS subset,ceda1b6a1,ALPUB_v2,2048,1,4,96,VES_FOCAL_WEIGHT=1.25; VES_MSE_WEIGHT=1.0; VES_CLASS_WEIGHT=2.0,runs/20260610T015145Z-07415d46e/new.pth,model/downloads/focal-weight-1-25-2048-20260619,model/downloads/focal-weight-1-25-2048-20260619/reviews/focal_1_25,visual review: saturated blob-like output on fixed 24-sample sheets,Completed AWS resumed probe and generated review sheets,Increasing focal pressure to 1.25 visibly worsened outputs; do not run upward sweep yet,Test explicit focal 1.0 or lower focal weights before more upward focal runs,docs/research_journal.md#2026-06-19
20260619-focal-1-00-2048,2026-06-19,training,Test explicit focal weight 1.0 against the same epoch-2 resumed 2048-sample control,ceda1b6a1,ALPUB_v2,2048,1,4,96,VES_FOCAL_WEIGHT=1.0; VES_MSE_WEIGHT=1.0; VES_CLASS_WEIGHT=2.0,runs/20260610T015145Z-07415d46e/new.pth,model/downloads/focal-weight-1-25-2048-20260619,model/downloads/focal-weight-1-25-2048-20260619/reviews/focal_1_00,visual review: nearly indistinguishable from focal_1_25; saturated blob-like output,Completed AWS resumed probe and generated fixed-seed review sheets,Explicit focal 1.0 did not visibly improve the 2048 resumed probe; folder also contains prior focal_1_25 artifacts,Consider lower focal values or per-class diagnostics before additional AWS training,docs/research_journal.md#2026-06-19
20260619-focal-0-25-2048,2026-06-19,training,Test whether a much lower focal weight changes the same epoch-2 resumed 2048-sample visual result,ceda1b6a1,ALPUB_v2,2048,1,4,96,VES_FOCAL_WEIGHT=0.25; VES_MSE_WEIGHT=1.0; VES_CLASS_WEIGHT=2.0,runs/20260610T015145Z-07415d46e/new.pth,model/downloads/focal-weight-0-25-2048-20260619,model/downloads/focal-weight-0-25-2048-20260619/reviews/focal_0_25,visual review: same saturated blob-like failure mode; mean rendered-sheet abs diff vs focal_1_00 about 0.66 to 0.68,Completed AWS resumed probe and generated fixed-seed review sheets,Lowering focal to 0.25 did not produce a meaningful visual improvement in this late-resume setup,Deprioritize focal-weight sweeps and examine class weight target construction output size or per-class diagnostics,docs/research_journal.md#2026-06-19
20260619-focal-probe-concern-diagnostics,2026-06-19,diagnostic,Compare epoch2 and focal probes on deterministic concern-class grayscale and ink metrics,ceda1b6a1,ALPUB_v2,24 per concern class,n/a,n/a,96,checkpoints=epoch2|focal_0_25|focal_1_00|focal_1_25; labels=OMICRON|EPSILON|LUNATE_SIGMA|CHI,runs/20260610T015145Z-07415d46e/new.pth; runs/experiments/focal-weight-0-25-2048-20260619/runs/focal_0_25/new.pth; runs/experiments/focal-weight-1-25-2048-20260619/runs/focal_1_00/new.pth; runs/experiments/focal-weight-1-25-2048-20260619/runs/focal_1_25/new.pth,model/downloads/20260619_focal_probe_per_class_metrics_concern,model/downloads/20260619_focal_probe_prediction_diagnostics,epoch2 higher ink IoU/recall; focal probes much better grayscale MSE/SSIM-like; focal_0_25 usually best grayscale,Completed concern-class scalar metrics and diagnostic sheets,Current fixed-threshold ink metrics reward near-black outputs and are misaligned with grayscale letter quality,Shift next work toward target construction thresholding output size or grayscale-aware objectives,docs/research_journal.md#2026-06-19
